,Operator,Fatalities
765,Compania Mexicana de Aviacion,79.0
766,Compania de Aviacion Faucett SA (Peru),123.0
767,Compania de Mexico,14.0
768,ComvaAviation,4.0
769,Condor Flugdienst,16.0
770,Conesul Taxi Aéreo,7.0
771,Congo Airline,41.0
772,Connair,11.0
773,Connie Kalitta Services,3.0
774,Conquest Airways - Air Taxi,3.0
775,Continental Air Lines,5.0
776,Continental Air Services,2.0
777,Continental Air Transport,3.0
778,Continental Airlines,83.0
779,Continental Charters,26.0
780,Continental Connection/Colgan Air,49.0
781,Continental Express,14.0
782,Continentale Deutsche Luftreederei,1.0
783,Conviasa,3.0
784,Cooper Skybird Air Charters,14.0
785,Copterline,14.0
786,Cordova Airlines,10.0
787,Corp. Aeronautica de Transportes,4.0
788,Corporacion Boliviano de Fomento,6.0
789,Corporate Air,1.0
790,Corporate Air - Air Taxi,3.0
791,Corporate Airlines (American Connection),13.0
792,Corporate Mobility Inc. - Private,3.0
793,Costal Airway,8.0
794,Cougar Helicopters,17.0
795,Coval Air,9.0
796,Crasa - Air Taxi,6.0
797,Crest Airlines - Air Taxi,2.0
798,Cross Airways,5.0
799,Crossair,34.0
800,Cruzeiro,213.0
801,Cruzeiro Do Sud,26.0
802,Cruzeiro do Sul,11.0
803,Cubana de Aviacion,486.0
804,Cubana de Aviacion / Military -  US Navy,43.0
805,Cubana de Aviacon,17.0
806,Cunard Eagle Airways,39.0
807,Currey Air Transport,3.0
808,Curtiss-Reid Flying Services Ltd. (Canada),52.0
809,Custom Air Service,2.0
810,DHL,2.0
811,DHL Aviation Africa,4.0
812,DJB Air Charter,1.0
813,DLL,2.0
814,DNL,13.0
815,DTA Angola Airlines,31.0
816,Dai Nippon,6.0
817,Daimler Airways,6.0
818,Daimler Airways / Grands Express Aeriens,7.0
819,Dalmia Jain Airways,13.0
820,Dan Air Services,278.0
821,Dan-Air Services,4.0
822,Darbhanga Aviation,5.0
